,fecha,prices bitcoin,market_caps bitcoin,total_volumes bitcoin,prices ethereum,market_caps ethereum,total_volumes ethereum,prices binancecoin,market_caps binancecoin,total_volumes binancecoin,prices cardano,market_caps cardano,total_volumes cardano,prices dogecoin,market_caps dogecoin,total_volumes dogecoin,prices solana,market_caps solana,total_volumes solana,prices polkadot,market_caps polkadot,total_volumes polkadot,prices matic-network,market_caps matic-network,total_volumes matic-network,prices litecoin,market_caps litecoin,total_volumes litecoin,prices ripple,market_caps ripple,total_volumes ripple,Year,Month
40,2020-09-27,10765.3,199236216251.43555,17639951627.948776,357.07,40273903426.08249,9973839924.612421,26.19,3864067179.6542735,346164386.63903743,0.1,3144513591.4589434,483494711.89665884,0.0,342050718.05898327,85237003.64205965,3.17,124163454.94575258,7557998.443943798,4.31,3966805487.8693743,123873259.31149642,0.02,71413263.38442037,8521691.99073061,45.98,3011777729.890723,2081204460.596281,0.24,10923070031.636724,1195058238.2178154,2020,9
41,2020-09-28,10672.03,197720212770.89465,19869963340.485493,354.43,39794887269.461235,9818467156.628036,26.85,3964694603.56834,409745128.1550127,0.1,3120734575.135007,518815539.50262606,0.0,335439035.2387621,108007301.81042172,2.96,115671366.64099684,9309539.826511212,4.42,4015168631.8723865,192688341.9893024,0.02,71656617.25862613,16963440.179417428,45.19,2962809214.0483956,1756879120.354449,0.24,10909450364.66475,1470905663.8388202,2020,9
42,2020-09-29,10837.52,200532996047.58585,18308943800.639038,359.43,40574256067.82458,9708794838.84551,28.78,4253400066.790345,470569222.7425147,0.1,3152600659.3929806,483215932.46241975,0.0,337793589.3923504,117696788.01587015,2.95,117794737.82329232,6850416.403733073,4.49,4123709369.6045084,200465046.6652287,0.02,74807821.0794714,10872262.077917384,45.64,2992509276.337595,1616334980.0351014,0.24,10971187241.150055,1401216766.162057,2020,9
43,2020-09-30,10770.88,199310441688.83572,18558607662.6852,359.6,40586538615.954575,8037484324.980594,29.24,4325855176.035254,443200921.29671556,0.1,3144236576.3845696,419980897.9124919,0.0,333197389.76617265,113949670.58043012,2.9,116997169.793763,5787535.353310377,4.35,3998481295.7904816,131549097.16661954,0.02,76978925.68164225,9684105.777167745,46.24,3034119907.633546,1826216265.5754645,0.24,10899063751.06877,1349173492.0133767,2020,9
44,2020-10-01,10627.98,196617081790.5188,20889752499.95891,353.2,39782583382.89109,11835729247.851833,27.46,4036519254.14418,443482779.6053237,0.1,3040403789.1582937,461060573.7791146,0.0,332691524.26282895,125254206.49554287,2.87,116446343.764479,8826242.176135253,4.34,3982054342.146103,185800897.37967393,0.02,72254557.32526156,14736445.460651383,46.24,3032516907.158288,2182917157.1435833,0.24,10764337318.910017,1415368386.555232,2020,10
45,2020-10-02,10572.67,195660035179.73257,21258724984.475838,345.91,39005631807.605095,12194440257.52427,27.25,4021625433.981785,476985560.9632853,0.09,2885309499.1712523,500670142.14554775,0.0,326849474.33532673,137496941.34490228,2.63,107373602.62220953,14212990.242723487,4.12,3786983100.945344,205627933.56633562,0.02,69587909.22576936,9450359.841421643,44.89,2944279767.5843797,1911918002.0513682,0.23,10556863497.81936,1493443327.1830103,2020,10
46,2020-10-03,10546.66,195188285650.34625,16039831144.937496,345.99,39098719406.98244,8933121301.40709,28.22,4184514172.408719,388752523.4064708,0.09,2907434494.3256884,367633066.8755187,0.0,328320976.9438199,127186814.30117291,2.55,104629198.18132688,5964945.748663193,4.07,3739978579.4404645,104601491.58937459,0.02,70708954.3640071,5371810.389634664,45.55,2989137205.153124,1630069343.3824325,0.23,10514196298.522305,1145307260.036307,2020,10
47,2020-10-04,10670.7,197494664453.7935,16029160487.55924,352.46,39758373727.61445,8905022839.294907,28.97,4283270102.311906,396194635.61245245,0.1,3028016017.7052183,377484663.2067583,0.0,333330546.6418484,103115065.46211262,2.52,104629072.11208977,7148795.3663304895,4.18,3849818336.1017737,89731299.09326749,0.02,70823617.10745393,5536939.733483986,46.7,3061589134.6551595,1882927123.945881,0.25,11199587834.605822,1473868105.1706815,2020,10
48,2020-10-05,10784.95,199530129891.0881,17853484006.269306,353.6,39890007481.293,9285381014.80383,28.6,4235422294.4251127,340780200.76853126,0.1,3029338348.925971,392793305.81995714,0.0,330997825.1773244,141202488.90734792,2.65,109983903.67952684,8274088.030812653,4.16,3833319535.2399874,132019868.42462733,0.02,71883397.64760992,5653050.861029152,46.33,3039737800.0074897,2112038828.578852,0.25,11307554311.79234,1595356340.6613643,2020,10
49,2020-10-06,10605.96,196314284797.01337,19419734685.095844,340.62,38419834420.75508,10280978397.300406,27.67,4081175972.411447,395033652.70382965,0.09,2881941763.165958,413991398.2598028,0.0,329890404.1911929,116780007.8212136,2.17,90510593.136206,12053371.14959094,3.75,3440251736.5558577,210625817.43183962,0.02,65479097.01041903,8999098.818212043,45.96,3015629548.5997577,2416461775.1509323,0.25,11084643136.206514,2034209028.9786022,2020,10
